2025-11-06 13:06:36,764 - DISCOVERED | https://www.duoc.cl/biblioteca/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,764 - DISCOVERED | https://www.duoc.cl/nosotros/autoridades/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,765 - DISCOVERED | https://www.duoc.cl/empresas/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,765 - DISCOVERED | https://www.duoc.cl/wp-content/uploads/2025/08/RES-40-2025-ACTUALIZA-CALENDARIO-ACADEMICO-2025-ONLINE-2DO-PERIODO-1-1.pdf | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/escuela/salud/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/contrato-servicios-educacionales/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/titulados/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/politica-privacidad/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/escuela/construccion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/international-affairs/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,766 - DISCOVERED | https://www.duoc.cl/contacto-admision/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,768 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,768 - DISCOVERED | https://www.duoc.cl/escuela/comunicacion/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,768 - DISCOVERED | https://www.duoc.cl/admision/especial/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,768 - DISCOVERED | https://www.duoc.cl/oferta-academica/cursos-diplomados/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,769 - DISCOVERED | https://www.duoc.cl/duoconline/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,769 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/transparencia/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,769 - DISCOVERED | https://www.duoc.cl/escuela/informatica-telecomunicaciones/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,770 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/innovacion-emprendimiento/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,770 - DISCOVERED | https://www.duoc.cl/portal-de-pago/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
2025-11-06 13:06:36,770 - DISCOVERED | https://www.duoc.cl/uvs/ | Source: https://www.duoc.cl/calendario-academico/ | Depth: 2
